iter	MultiClass
429	0.5074319076
430	0.5064587425
431	0.5054685936
432	0.5044640644
433	0.5036013232
434	0.5028740294
435	0.5018720274
436	0.5009509763
437	0.5001846003
438	0.4993530999
439	0.4984160454
440	0.497740751
441	0.4968203411
442	0.4959744165
443	0.4952175435
444	0.4940440955
445	0.4930955446
446	0.4922095919
447	0.4914483148
448	0.4905817768
449	0.4899519864
450	0.4888765394
451	0.4879844587
452	0.4867500318
453	0.4858645194
454	0.4849451284
455	0.4841985855
456	0.48343489
457	0.4825965627
458	0.4816828358
459	0.4808957989
460	0.4800493632
461	0.4791854635
462	0.4783157709
463	0.4775042335
464	0.4765818705
465	0.4759702739
466	0.4750684072
467	0.4742261671
468	0.4733253173
469	0.4726958265
470	0.4719216579
471	0.4709726825
472	0.4700314318
473	0.4692607913
474	0.4684468643
475	0.4676476124
476	0.4667453491
477	0.4660500009
478	0.4650589702
479	0.464202
480	0.4633590148
481	0.4627243749
482	0.4620505652
483	0.4610130489
484	0.4601839657
485	0.4594637782
486	0.4588146114
487	0.4581217576
488	0.4572749825
489	0.4565989448
490	0.4556987271
491	0.455007639
492	0.4542051073
493	0.4532663991
494	0.4524675127
495	0.4517326792
496	0.4511471417
497	0.4503376973
498	0.4496625454
499	0.4488112439
500	0.4477114925
501	0.4465474872
502	0.4458548507
503	0.4451205838
504	0.4443863178
505	0.4437244819
506	0.4429467157
507	0.4422761541
508	0.4413591742
509	0.4405892107
510	0.4396609449
511	0.4389870522
512	0.4383098189
513	0.4375561406
514	0.4367413064
515	0.4360566479
516	0.435087765
517	0.4343149408
518	0.4335859895
519	0.4326439953
520	0.4317708473
521	0.4309090013
522	0.4299083445
523	0.4292290651
524	0.4285177852
525	0.4276067718
526	0.4268235653
527	0.426204319
528	0.425425559
529	0.4246687139
530	0.4240296074
531	0.4233528278
532	0.4227300184
533	0.422006445
534	0.4208010151
535	0.419778526
536	0.4189313211
537	0.4181758683
538	0.4174079467
539	0.4166472666
540	0.4159021465
541	0.4151793047
542	0.4142659904
543	0.413625834
544	0.4128000191
545	0.4119782222
546	0.4112134971
547	0.4103210636
548	0.4094974847
549	0.4087347637
550	0.4077600998
551	0.4068236947
552	0.406084061
553	0.4054860269
554	0.4047544914
555	0.4039956221
556	0.4028079648
557	0.4019423898
558	0.4012811609
559	0.4005324225
560	0.3997495562
561	0.399045446
562	0.3982692876
563	0.397485414
564	0.3968316906
565	0.3959029457
566	0.394883263
567	0.3941192897
568	0.3932689057
569	0.3926709644
570	0.3919239432
571	0.3911920971
572	0.3902707554
573	0.3896001593
574	0.3886976277
575	0.3880247663
576	0.3872644445
577	0.3865325978
578	0.3858967268
579	0.3852372432
580	0.3845409629
581	0.3836350151
582	0.382793124
583	0.3819219486
584	0.3812652327
585	0.380509228
586	0.3795445438
587	0.3787252676
588	0.3779677588
589	0.3771989156
590	0.3764574563
591	0.3756646596
592	0.3749862064
593	0.3742177568
594	0.3734421767
595	0.3727637724
596	0.3722057404
597	0.371579181
598	0.3707990432
599	0.370141241
600	0.3694578159
601	0.3688454276
602	0.3679237741
603	0.3672154076
604	0.366481588
605	0.3656990392
606	0.3647630404
607	0.3640221339
608	0.3633708312
609	0.3628063189
610	0.3622822339
611	0.3617918927
612	0.3611094371
613	0.3602097961
614	0.3594301662
615	0.3586013644
616	0.3578799756
617	0.3572806599
618	0.3565175349
619	0.3558426941
620	0.3552430905
621	0.3546765353
622	0.3538908
623	0.3531886151
624	0.3525775075
625	0.3518509305
626	0.3510300026
627	0.3500005918
628	0.3493478812
629	0.3487695217
630	0.3481688043
631	0.3475498956
632	0.3465235842
633	0.3460152915
634	0.3451474642
635	0.3443317174
636	0.3436636392
637	0.3428671886
638	0.3421543873
639	0.3416357706
640	0.3409638381
641	0.3399544392
642	0.3393775157
643	0.3387166902
644	0.3378484829
645	0.3371820915
646	0.3362877123
647	0.3357903126
648	0.3351261662
649	0.3345447348
650	0.3340201481
651	0.3333399863
652	0.3325943499
653	0.3319356614
654	0.331286345
655	0.3304400043
656	0.3298828315
657	0.3293052563
658	0.3286329686
659	0.328122996
660	0.3273372453
661	0.3267238836
662	0.3260646801
663	0.3254456862
664	0.3247763776
665	0.3238423762
666	0.3230591622
667	0.3225221569
668	0.3219964672
669	0.3214340813
670	0.320826283
671	0.3201570953
672	0.3195857554
673	0.3188658737
674	0.3181120211
675	0.3175327147
676	0.3167070888
677	0.3159866744
678	0.3153850946
679	0.3148097014
680	0.3140915169
681	0.3134766769
682	0.3128494643
683	0.3120666995
684	0.3115649568
685	0.3108758095
686	0.3103683767
687	0.3095541444
688	0.309018481
689	0.3085851415
690	0.3080280736
691	0.3073963491
692	0.3068642676
693	0.306233575
694	0.3056219543
695	0.3050071256
696	0.3042105706
697	0.3037280075
698	0.3030404654
699	0.3025530615
700	0.302053622
701	0.3016295246
702	0.3010409189
703	0.3004850411
704	0.2999517789
705	0.2993280716
706	0.2986642422
707	0.2980286681
708	0.2974764194
709	0.2969940652
710	0.2961341314
711	0.2955571385
712	0.2950498375
713	0.2945738318
714	0.2939387046
715	0.2934198337
716	0.2929663192
717	0.2924507258
718	0.2917749673
719	0.2911390337
720	0.2906727314
721	0.2899729663
722	0.2892744965
723	0.2886419439
724	0.2880928959
725	0.2875076564
726	0.2869447102
727	0.2863797613
728	0.2858775834
729	0.285231672
730	0.2847703552
731	0.2841118815
732	0.2834632045
733	0.2828246875
734	0.2824157336
735	0.2818476545
736	0.281148246
737	0.2804208592
738	0.2798359021
739	0.2792489343
740	0.2785661569
741	0.2780717464
742	0.2775688501
743	0.2769791957
744	0.2764685564
745	0.2759149495
746	0.2753034089
747	0.2747737205
748	0.2743150609
749	0.2738292022
750	0.2733201639
751	0.2727089394
752	0.272271097
753	0.271619398
754	0.2712189776
755	0.2707680037
756	0.2702754388
757	0.2698207265
758	0.2694206944
759	0.2688383962
760	0.2682569936
761	0.2676721914
762	0.267201577
763	0.2666203871
764	0.2661175112
765	0.2655343007
766	0.2649071831
767	0.2641890201
768	0.2635860037
769	0.2631292392
770	0.2626254974
771	0.2619471381
772	0.2614510863
773	0.2609554784
774	0.2604820061
775	0.259974815
776	0.2595177778
777	0.2590756434
778	0.2584624331
779	0.2580367067
780	0.2574446216
781	0.2570050583
782	0.256599199
783	0.2559520123
784	0.255500203
785	0.2548564042
786	0.2541705263
787	0.2537666329
788	0.253403188
789	0.2530094663
790	0.2524579354
791	0.2520774222
792	0.2515786583
793	0.2508969336
794	0.2505341642
795	0.2498718003
796	0.2492914286
797	0.2488098919
798	0.2484361298
799	0.2479840373
800	0.2476048618
801	0.2471862303
802	0.2467210396
803	0.2462733141
804	0.2458623308
805	0.2453993846
806	0.2449592212
807	0.2443328592
808	0.2439741279
809	0.2434604424
810	0.2430313982
811	0.2425414646
812	0.2421478615
813	0.2416990453
814	0.2412175647
815	0.240862052
816	0.2404388961
817	0.2399436365
818	0.2394895066
819	0.2390885236
820	0.2386907073
821	0.2382450141
822	0.2378405829
823	0.237412778
824	0.2369608601
825	0.2365911042
826	0.2362262643
827	0.2356744138
828	0.2352233521
829	0.2347314085
830	0.234147816
831	0.2335965992
832	0.2330441892
833	0.2326692512
834	0.2322678597
835	0.2318618315
836	0.2314500858
837	0.2311202881
838	0.2306250241
839	0.2300722609
840	0.2295162089
841	0.2289684802
842	0.2285205564
843	0.2279847361
844	0.2274909727
845	0.2270856468
846	0.226555572
847	0.2261543907
848	0.2256518037
849	0.2252991652
