iter	Passed	Remaining
399	38012	42763
400	38104	42665
401	38197	42568
402	38289	42469
403	38384	42375
404	38480	42281
405	38590	42202
406	38680	42101
407	38780	42011
408	38881	41923
409	38984	41837
410	39092	41755
411	39195	41668
412	39292	41576
413	39385	41478
414	39483	41385
415	39599	41312
416	39693	41216
417	39798	41131
418	39897	41040
419	39993	40945
420	40092	40854
421	40192	40763
422	40284	40665
423	40380	40571
424	40476	40476
425	40576	40385
426	40664	40283
427	40772	40200
428	40870	40108
429	40964	40011
430	41064	39921
431	41158	39824
432	41246	39722
433	41340	39626
434	41436	39530
435	41536	39440
436	41636	39349
437	41737	39260
438	41838	39169
439	41937	39078
440	42037	38987
441	42128	38887
442	42218	38787
443	42309	38688
444	42408	38596
445	42499	38497
446	42605	38411
447	42708	38323
448	42791	38216
449	42899	38133
450	42996	38039
451	43087	37940
452	43180	37842
453	43273	37745
454	43369	37650
455	43468	37558
456	43560	37459
457	43647	37357
458	43746	37265
459	43838	37167
460	43949	37085
461	44064	37006
462	44165	36916
463	44268	36827
464	44367	36734
465	44461	36637
466	44552	36538
467	44653	36448
468	44757	36359
469	44850	36262
470	44944	36165
471	45043	36072
472	45138	35977
473	45242	35888
474	45337	35792
475	45442	35705
476	45535	35607
477	45629	35511
478	45723	35414
479	45822	35321
480	45921	35229
481	46030	35143
482	46134	35054
483	46237	34964
484	46341	34875
485	46441	34783
486	46540	34690
487	46635	34594
488	46741	34506
489	46839	34413
490	46934	34316
491	47034	34224
492	47142	34137
493	47251	34051
494	47350	33958
495	47444	33861
496	47543	33768
497	47649	33679
498	47743	33582
499	47837	33486
500	47935	33392
501	48039	33302
502	48141	33211
503	48237	33115
504	48345	33027
505	48447	32936
506	48544	32841
507	48661	32760
508	48759	32665
509	48855	32570
510	48948	32472
511	49038	32373
512	49130	32274
513	49228	32180
514	49339	32094
515	49439	32001
516	49537	31906
517	49633	31811
518	49733	31718
519	49827	31621
520	49922	31524
521	50032	31438
522	50123	31339
523	50216	31241
524	50315	31147
525	50407	31049
526	50502	30953
527	50598	30857
528	50699	30764
529	50808	30676
530	50913	30586
531	51017	30495
532	51113	30399
533	51210	30304
534	51303	30206
535	51416	30120
536	51530	30035
537	51638	29946
538	51746	29857
539	51854	29768
540	51951	29673
541	52059	29583
542	52149	29484
543	52264	29399
544	52360	29302
545	52453	29204
546	52546	29106
547	52639	29009
548	52745	28919
549	52843	28823
550	52945	28730
551	53054	28641
552	53171	28556
553	53281	28468
554	53386	28376
555	53504	28291
556	53610	28200
557	53722	28113
558	53836	28025
559	53985	27956
560	54136	27888
561	54242	27796
562	54352	27707
563	54469	27621
564	54574	27528
565	54684	27438
566	54780	27342
567	54889	27251
568	54990	27157
569	55100	27067
570	55203	26973
571	55305	26879
572	55407	26785
573	55506	26689
574	55604	26593
575	55702	26497
576	55802	26402
577	55906	26308
578	56009	26214
579	56107	26119
580	56219	26029
581	56316	25932
582	56412	25835
583	56518	25743
584	56623	25650
585	56722	25554
586	56839	25466
587	56954	25377
588	57070	25289
589	57182	25199
590	57301	25111
591	57417	25023
592	57522	24929
593	57623	24834
594	57730	24741
595	57850	24654
596	57962	24563
597	58081	24475
598	58193	24384
599	58305	24293
600	58409	24199
601	58519	24107
602	58626	24014
603	58738	23923
604	58867	23839
605	58987	23750
606	59102	23660
607	59229	23574
608	59339	23482
609	59455	23392
610	59556	23296
611	59666	23203
612	59766	23107
613	59868	23011
614	59966	22913
615	60080	22822
616	60185	22728
617	60283	22630
618	60378	22532
619	60479	22435
620	60575	22337
621	60673	22240
622	60787	22149
623	60896	22055
624	61001	21960
625	61102	21864
626	61198	21765
627	61298	21669
628	61402	21573
629	61503	21477
630	61605	21381
631	61701	21282
632	61807	21188
633	61911	21092
634	62008	20995
635	62113	20899
636	62216	20803
637	62324	20709
638	62423	20612
639	62527	20516
640	62633	20421
641	62737	20326
642	62833	20228
643	62937	20132
644	63038	20035
645	63140	19938
646	63230	19838
647	63333	19742
648	63431	19645
649	63533	19548
650	63631	19451
651	63734	19355
652	63844	19260
653	63960	19168
654	64082	19078
655	64188	18982
656	64289	18885
657	64398	18791
658	64504	18695
659	64616	18601
660	64721	18505
661	64826	18409
662	64933	18314
663	65048	18221
664	65148	18123
665	65256	18028
666	65371	17935
667	65487	17842
668	65589	17745
669	65689	17647
670	65804	17554
671	65905	17457
672	66017	17362
673	66125	17267
674	66239	17173
675	66348	17077
676	66464	16984
677	66564	16886
678	66673	16791
679	66776	16694
680	66880	16597
681	66994	16502
682	67105	16407
683	67205	16310
684	67309	16213
685	67415	16116
686	67526	16021
687	67628	15924
688	67736	15828
689	67841	15731
690	67944	15634
691	68049	15537
692	68154	15440
693	68262	15344
694	68379	15250
695	68484	15153
696	68594	15057
697	68704	14961
698	68813	14865
699	68922	14769
700	69035	14673
701	69147	14578
702	69255	14481
703	69366	14385
704	69492	14292
705	69604	14197
706	69719	14101
707	69826	14004
708	69946	13910
709	70063	13815
710	70182	13720
711	70290	13623
712	70409	13528
713	70520	13432
714	70642	13338
715	70763	13243
716	70881	13148
717	70996	13052
718	71127	12959
719	71244	12863
720	71368	12769
721	71474	12671
722	71583	12574
723	71702	12478
724	71816	12382
725	71921	12284
726	72061	12192
727	72217	12102
728	72335	12006
729	72447	11909
730	72584	11816
731	72702	11719
732	72823	11623
733	72950	11529
734	73068	11432
735	73182	11335
736	73297	11238
737	73419	11142
738	73535	11045
739	73687	10953
740	73802	10856
741	74023	10774
742	74156	10679
743	74294	10584
744	74431	10490
745	74560	10394
746	74678	10296
747	74791	10198
748	74916	10102
749	75041	10005
750	75160	9908
751	75280	9810
752	75403	9713
753	75524	9615
754	75664	9520
755	75797	9424
756	75919	9327
757	76050	9230
758	76172	9132
759	76300	9035
760	76427	8938
761	76566	8842
762	76711	8746
763	76850	8650
764	76977	8553
765	77103	8455
766	77228	8357
767	77361	8259
768	77494	8162
769	77620	8064
770	77750	7966
771	77890	7869
772	78005	7770
773	78118	7670
774	78237	7571
775	78357	7472
776	78473	7372
777	78578	7272
778	78689	7171
779	78797	7071
780	78900	6970
781	79024	6871
782	79131	6771
783	79243	6670
784	79358	6571
785	79454	6469
786	79574	6369
787	79697	6270
788	79802	6169
789	79909	6069
790	80012	5968
791	80112	5866
792	80234	5767
793	80343	5666
794	80454	5566
795	80564	5465
796	80671	5364
797	80780	5263
798	80903	5164
799	81025	5064
800	81140	4963
801	81247	4862
802	81368	4762
803	81481	4661
804	81597	4561
805	81718	4461
806	81834	4360
807	81941	4259
808	82054	4158
809	82177	4058
810	82294	3957
811	82419	3857
812	82548	3756
813	82656	3655
814	82768	3554
815	82877	3453
816	82996	3352
817	83110	3251
818	83234	3150
819	83354	3049
820	83472	2948
821	83591	2847
822	83734	2747
823	83857	2646
824	83973	2544
825	84093	2443
826	84222	2342
827	84342	2240
828	84459	2139
829	84576	2037
830	84701	1936
831	84821	1835
832	84948	1733
833	85062	1631
834	85189	1530
835	85298	1428
836	85428	1326
837	85559	1225
838	85679	1123
839	85806	1021
840	85932	919
841	86040	817
842	86167	715
843	86303	613
844	86421	511
845	86549	409
846	86687	307
847	86817	204
848	86942	102
849	87063	0
